trips,timestamp
100,2019-10-02 01:00:00.000000 +02:00
47,2019-10-02 02:00:00.000000 +02:00
27,2019-10-02 03:00:00.000000 +02:00
16,2019-10-02 04:00:00.000000 +02:00
12,2019-10-02 05:00:00.000000 +02:00
26,2019-10-02 06:00:00.000000 +02:00
107,2019-10-02 07:00:00.000000 +02:00
394,2019-10-02 08:00:00.000000 +02:00
473,2019-10-02 09:00:00.000000 +02:00
337,2019-10-02 10:00:00.000000 +02:00
392,2019-10-02 11:00:00.000000 +02:00
471,2019-10-02 12:00:00.000000 +02:00
499,2019-10-02 13:00:00.000000 +02:00
574,2019-10-02 14:00:00.000000 +02:00
703,2019-10-02 15:00:00.000000 +02:00
808,2019-10-02 16:00:00.000000 +02:00
962,2019-10-02 17:00:00.000000 +02:00
1051,2019-10-02 18:00:00.000000 +02:00
833,2019-10-02 19:00:00.000000 +02:00
573,2019-10-02 20:00:00.000000 +02:00
424,2019-10-02 21:00:00.000000 +02:00
296,2019-10-02 22:00:00.000000 +02:00
255,2019-10-02 23:00:00.000000 +02:00
